"DateTime","ws_forecast (avg) (california_iso)"
"2020-02-01 00:00:00",5.333
"2020-02-01 01:00:00",5.333
"2020-02-01 02:00:00",5.333
"2020-02-01 03:00:00",5.333
"2020-02-01 04:00:00",5.333
"2020-02-01 05:00:00",5.667
"2020-02-01 06:00:00",16.333
"2020-02-01 07:00:00",644.333
"2020-02-01 08:00:00",1985
"2020-02-01 09:00:00",2504.667
"2020-02-01 10:00:00",2594.667
"2020-02-01 11:00:00",2513.333
"2020-02-01 12:00:00",2561.667
"2020-02-01 13:00:00",2444.667
"2020-02-01 14:00:00",2439.333
"2020-02-01 15:00:00",2107.333
"2020-02-01 16:00:00",861
"2020-02-01 17:00:00",60.667
"2020-02-01 18:00:00",40.333
"2020-02-01 19:00:00",35.667
"2020-02-01 20:00:00",7
"2020-02-01 21:00:00",6.667
"2020-02-01 22:00:00",6
"2020-02-01 23:00:00",5.333
"2020-02-02 00:00:00",5.333
"2020-02-02 01:00:00",5.333
"2020-02-02 02:00:00",5
"2020-02-02 03:00:00",5
"2020-02-02 04:00:00",5
"2020-02-02 05:00:00",5.333
"2020-02-02 06:00:00",16.333
"2020-02-02 07:00:00",586.667
"2020-02-02 08:00:00",1811.667
"2020-02-02 09:00:00",2320.333
"2020-02-02 10:00:00",2371
"2020-02-02 11:00:00",2441.333
"2020-02-02 12:00:00",2218.667
"2020-02-02 13:00:00",2045.333
"2020-02-02 14:00:00",2328.333
"2020-02-02 15:00:00",1871.333
"2020-02-02 16:00:00",762.333
"2020-02-02 17:00:00",51
"2020-02-02 18:00:00",4.667
"2020-02-02 19:00:00",4
"2020-02-02 20:00:00",4
"2020-02-02 21:00:00",4
"2020-02-02 22:00:00",3.333
"2020-02-02 23:00:00",2.333
"2020-02-03 00:00:00",2.333
"2020-02-03 01:00:00",2.333
"2020-02-03 02:00:00",2
"2020-02-03 03:00:00",2
"2020-02-03 04:00:00",2
"2020-02-03 05:00:00",2
"2020-02-03 06:00:00",10.333
"2020-02-03 07:00:00",470.667
"2020-02-03 08:00:00",1731
"2020-02-03 09:00:00",2502.667
"2020-02-03 10:00:00",2747.667
"2020-02-03 11:00:00",2730.667
"2020-02-03 12:00:00",2583.333
"2020-02-03 13:00:00",2599
"2020-02-03 14:00:00",2530
"2020-02-03 15:00:00",2074
"2020-02-03 16:00:00",812.333
"2020-02-03 17:00:00",40.333
"2020-02-03 18:00:00",-1.333
"2020-02-03 19:00:00",-3.667
"2020-02-03 20:00:00",-3.667
"2020-02-03 21:00:00",-4
"2020-02-03 22:00:00",-5.333
"2020-02-03 23:00:00",-5.333
"2020-02-04 00:00:00",-5.333
"2020-02-04 01:00:00",-5.333
"2020-02-04 02:00:00",-6
"2020-02-04 03:00:00",-5.667
"2020-02-04 04:00:00",-6
"2020-02-04 05:00:00",-2.333
"2020-02-04 06:00:00",14
"2020-02-04 07:00:00",723
"2020-02-04 08:00:00",2093
"2020-02-04 09:00:00",2690.667
"2020-02-04 10:00:00",2750.333
"2020-02-04 11:00:00",2712.667
"2020-02-04 12:00:00",2568
"2020-02-04 13:00:00",2703.333
"2020-02-04 14:00:00",2561
"2020-02-04 15:00:00",2182
"2020-02-04 16:00:00",939
"2020-02-04 17:00:00",57
"2020-02-04 18:00:00",-0.667
"2020-02-04 19:00:00",-6.667
"2020-02-04 20:00:00",-4.667
"2020-02-04 21:00:00",-5
"2020-02-04 22:00:00",-6.333
"2020-02-04 23:00:00",-6.333
"2020-02-05 00:00:00",-6
"2020-02-05 01:00:00",-6
"2020-02-05 02:00:00",-6.333
"2020-02-05 03:00:00",-6.333
"2020-02-05 04:00:00",-6.333
"2020-02-05 05:00:00",-6.333
"2020-02-05 06:00:00",3.333
"2020-02-05 07:00:00",464
"2020-02-05 08:00:00",1632.667
"2020-02-05 09:00:00",2292.333
"2020-02-05 10:00:00",2572.333
"2020-02-05 11:00:00",2731
"2020-02-05 12:00:00",2702
"2020-02-05 13:00:00",2656.667
"2020-02-05 14:00:00",2648.333
"2020-02-05 15:00:00",2209.333
"2020-02-05 16:00:00",879.333
"2020-02-05 17:00:00",28.333
"2020-02-05 18:00:00",-4.333
"2020-02-05 19:00:00",-4.667
"2020-02-05 20:00:00",-4.667
"2020-02-05 21:00:00",-4.333
"2020-02-05 22:00:00",-5.333
"2020-02-05 23:00:00",-5.667
"2020-02-06 00:00:00",-5.667
"2020-02-06 01:00:00",-5.333
"2020-02-06 02:00:00",-5.667
"2020-02-06 03:00:00",-5
"2020-02-06 04:00:00",-5.333
"2020-02-06 05:00:00",-5.667
"2020-02-06 06:00:00",8.667
"2020-02-06 07:00:00",719.667
"2020-02-06 08:00:00",2249
"2020-02-06 09:00:00",2834.667
"2020-02-06 10:00:00",2866.333
"2020-02-06 11:00:00",2890.333
"2020-02-06 12:00:00",2852
"2020-02-06 13:00:00",2849.333
"2020-02-06 14:00:00",2707
"2020-02-06 15:00:00",2353.667
"2020-02-06 16:00:00",1069
"2020-02-06 17:00:00",54.667
"2020-02-06 18:00:00",-5.667
"2020-02-06 19:00:00",-5.667
