"DateTime","sys_load_rsrc (TAC_NORTH) (california_iso)"
"2020-01-01 00:00:00",9282
"2020-01-01 01:00:00",8912
"2020-01-01 02:00:00",8678
"2020-01-01 03:00:00",8549
"2020-01-01 04:00:00",8540
"2020-01-01 05:00:00",8847
"2020-01-01 06:00:00",9305
"2020-01-01 07:00:00",9569
"2020-01-01 08:00:00",9621
"2020-01-01 09:00:00",9676
"2020-01-01 10:00:00",9566
"2020-01-01 11:00:00",9422
"2020-01-01 12:00:00",9341
"2020-01-01 13:00:00",9316
"2020-01-01 14:00:00",9380
"2020-01-01 15:00:00",9694
"2020-01-01 16:00:00",10365
"2020-01-01 17:00:00",11512
"2020-01-01 18:00:00",11812
"2020-01-01 19:00:00",11753
"2020-01-01 20:00:00",11483
"2020-01-01 21:00:00",10671
"2020-01-01 22:00:00",10109
"2020-01-01 23:00:00",9439
"2020-01-02 00:00:00",9026
"2020-01-02 01:00:00",8703
"2020-01-02 02:00:00",8516
"2020-01-02 03:00:00",8477
"2020-01-02 04:00:00",8739
"2020-01-02 05:00:00",9412
"2020-01-02 06:00:00",10465
"2020-01-02 07:00:00",11159
"2020-01-02 08:00:00",11060
"2020-01-02 09:00:00",10751
"2020-01-02 10:00:00",10469
"2020-01-02 11:00:00",10258
"2020-01-02 12:00:00",10096
"2020-01-02 13:00:00",10110
"2020-01-02 14:00:00",10154
"2020-01-02 15:00:00",10467
"2020-01-02 16:00:00",11135
"2020-01-02 17:00:00",12372
"2020-01-02 18:00:00",12541
"2020-01-02 19:00:00",12287
"2020-01-02 20:00:00",11910
"2020-01-02 21:00:00",11108
"2020-01-02 22:00:00",10320
"2020-01-02 23:00:00",9587
"2020-01-03 00:00:00",8969
"2020-01-03 01:00:00",8629
"2020-01-03 02:00:00",8496
"2020-01-03 03:00:00",8475
"2020-01-03 04:00:00",8746
"2020-01-03 05:00:00",9376
"2020-01-03 06:00:00",10432
"2020-01-03 07:00:00",11080
"2020-01-03 08:00:00",11158
"2020-01-03 09:00:00",10622
"2020-01-03 10:00:00",10279
"2020-01-03 11:00:00",10198
"2020-01-03 12:00:00",10037
"2020-01-03 13:00:00",10074
"2020-01-03 14:00:00",10242
"2020-01-03 15:00:00",10593
"2020-01-03 16:00:00",11209
"2020-01-03 17:00:00",12068
"2020-01-03 18:00:00",12118
"2020-01-03 19:00:00",11885
"2020-01-03 20:00:00",11540
"2020-01-03 21:00:00",10838
"2020-01-03 22:00:00",10180
"2020-01-03 23:00:00",9495
"2020-01-04 00:00:00",9027
"2020-01-04 01:00:00",8660
